customer_id,tenure_months,monthly_charges,contract_type,num_support_tickets,avg_satisfaction_score,customer_notes,churn_label
CUST-000001,10,99.37,one-year,4,7.49,Network performance has improved over the last quarter. The customer opened 4 support ticket(s) in the recent review window.,0
CUST-000002,8,115.73,month-to-month,5,5.26,They reported unresolved billing disputes this month. The customer opened 5 support ticket(s) in the recent review window.,1
CUST-000003,22,66.34,two-year,1,6.73,They appreciate the current pricing plan. The customer opened 1 support ticket(s) in the recent review window. Primary issue category: billing issue.,0
CUST-000004,19,61.05,one-year,2,8.0,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Contract followup customer renewal usage contract support followup.,0
CUST-000005,19,80.4,month-to-month,7,4.18,They contacted support for standard account maintenance. The customer opened 7 support ticket(s) in the recent review window. Internal follow-up note: Usage stability service service account billing usage feedback.,0
CUST-000006,47,72.77,two-year,1,6.84,The onboarding experience was smooth. The customer opened 1 support ticket(s) in the recent review window.,0
CUST-000007,21,65.02,one-year,0,6.91,The customer mentioned the portal is easy to use. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000008,38,72.49,one-year,2,4.98,Network performance has improved over the last quarter. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000009,18,84.58,month-to-month,4,5.77,They contacted support for standard account maintenance. The customer opened 4 support ticket(s) in the recent review window.,1
CUST-000010,63,71.04,month-to-month,9,3.4,The latest support case took too long to close. The customer opened 9 support ticket(s) in the recent review window. Internal follow-up note: Contract followup service team experience team feedback team.,0
CUST-000011,38,73.79,month-to-month,3,5.23,The customer mentioned the portal is easy to use. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000012,27,68.25,two-year,1,6.47,The service has been reliable lately. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Experience followup contract account service account review service.,0
CUST-000013,31,56.74,one-year,1,6.03,The onboarding experience was smooth. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Followup pricing billing pricing team followup feedback usage.,0
CUST-000014,34,69.2,two-year,1,5.89,Recent support interactions were helpful and professional. The customer opened 1 support ticket(s) in the recent review window. Primary issue category: pricing complaint.,0
CUST-000015,19,77.98,month-to-month,4,6.98,They appreciate the current pricing plan. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Review stability pricing experience contract feedback experience team. Primary issue category: service outage.,0
CUST-000016,18,86.54,month-to-month,5,5.31,The customer asked for a usage summary before renewal. The customer opened 5 support ticket(s) in the recent review window.,1
CUST-000017,12,105.22,month-to-month,0,6.82,The service has been reliable lately. The customer opened 0 support ticket(s) in the recent review window.,1
