customer_id,tenure_months,monthly_charges,contract_type,num_support_tickets,avg_satisfaction_score,customer_notes,churn_label
CUST-000001,14,45.63,one-year,3,6.11,They appreciate the current pricing plan. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Renewal contract usage contract review review team contract.,0
CUST-000002,23,91.43,month-to-month,3,3.9,The account owner requested a routine plan review. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000003,47,90.22,two-year,1,5.62,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Support followup pricing renewal feedback renewal account renewal.,0
CUST-000004,34,89.33,one-year,3,4.47,The service has been reliable lately. The customer opened 3 support ticket(s) in the recent review window.,0
CUST-000005,9,82.78,month-to-month,1,7.68,Network performance has improved over the last quarter. The customer opened 1 support ticket(s) in the recent review window. Internal follow-up note: Pricing support support customer feedback feedback pricing customer.,0
CUST-000006,41,61.74,two-year,2,4.77,Recent support interactions were helpful and professional. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Contract support usage pricing support customer team account.,0
CUST-000007,30,83.03,one-year,0,7.88,The onboarding experience was smooth. The customer opened 0 support ticket(s) in the recent review window.,0
CUST-000008,16,88.83,one-year,3,8.04,The onboarding experience was smooth. The customer opened 3 support ticket(s) in the recent review window. Internal follow-up note: Usage feedback experience service contract customer review experience.,0
CUST-000009,37,76.53,month-to-month,8,6.97,They contacted support for standard account maintenance. The customer opened 8 support ticket(s) in the recent review window.,0
CUST-000010,34,82.36,month-to-month,2,4.18,The customer left brief feedback without strong sentiment. The customer opened 2 support ticket(s) in the recent review window. Internal follow-up note: Review renewal followup pricing usage review team experience.,0
CUST-000011,28,87.17,month-to-month,4,5.9,The customer asked for a usage summary before renewal. The customer opened 4 support ticket(s) in the recent review window. Internal follow-up note: Service support feedback stability usage review service customer.,1
CUST-000012,34,70.63,two-year,2,5.75,The customer mentioned the portal is easy to use. The customer opened 2 support ticket(s) in the recent review window.,0
CUST-000013,23,70.0,one-year,0,5.4,The service has been reliable lately. The customer opened 0 support ticket(s) in the recent review window.,0
